"","mu","sigma","nu","tau","x","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99"
"1",229.270540276084,0.291479729358639,0.53039521093298,9.50818587004721,4,79.1904880751823,96.7117416060487,107.812700403527,116.140156649769,122.897180583785,128.637145551001,133.662399173478,138.156947637769,142.241445246274,145.999468770705,149.491406183759,152.7623774311,155.847027883069,158.772571158049,161.56079816682,164.229448088393,166.793170575828,169.264217624994,171.652951672618,173.968225732749,176.217672526101,178.40792765672,180.544804183458,182.633430826118,184.678362590494,186.683670214486,188.653013167511,190.589699746358,192.496736952089,194.376872204425,196.232628485106,198.066334153612,199.880148415503,201.676083222677,203.456022230233,205.221737314553,206.974903063377,208.717109574816,210.449873843792,212.174649967897,213.892838367562,215.60579418568,217.314835008013,219.021248026637,220.726296753445,222.431227378718,224.137274860384,225.845668822528,227.557639336522,229.274422654878,230.997266966099,232.727438238673,234.466226223661,236.214950688192,237.974967956727,239.747677843234,241.534531065762,243.337037245481,245.156773605575,246.995394501893,248.854641937556,250.736357238803,252.642494100069,254.575133244228,256.5364989907,258.528978082105,260.55514119232,262.617767629082,264.719873857856,266.864746617515,269.055981581633,271.297528754569,273.593746096008,275.949463265106,278.37005789879,280.861547534863,283.430701226112,286.085176163327,288.833686375152,291.686213013233,294.654269184405,297.751237255914,300.992803821206,304.397528341203,307.987597966428,311.789846761795,315.837158737477,320.170442041268,324.841477684591,329.917152183996,335.48596641036,341.668464077303,348.634795256189,356.636191477164,366.066043745587,377.591702246067,392.484947986765,413.667980574522,450.83096044251
"2",236.407237881456,0.290261146260586,0.489357970489692,9.62835547007204,4.31313131313131,84.601862804721,102.093802217026,113.199993580353,121.546777815241,128.330004821887,134.099918147214,139.157306108773,143.685323058599,147.80412761575,151.596995242626,155.124125361043,158.430517960496,161.550741791609,164.511962083302,167.335940215026,170.040398698174,172.639979449022,175.146933021532,177.571624907002,179.922914425491,182.208442983106,184.434856632542,186.607980206818,188.732955213847,190.814350240294,192.856250242089,194.862329436365,196.835911325611,198.780018529733,200.697414476105,202.59063853442,204.462035836397,206.313782758101,208.147908842466,209.9663157854,211.770793989252,213.563037093819,215.344654821508,217.117184414983,218.882100899304,220.640826363573,222.394738427504,224.145178034598,225.893456694666,227.640863283303,229.388670494,231.138141029377,232.890533610984,234.647108882204,236.409135275576,238.177894914302,239.954689617747,241.740847082317,243.537727312278,245.346729379953,247.169298601468,249.006934222999,250.861197723718,252.733721855598,254.626220557614,256.540499903219,258.478470266245,260.44215992263,262.433730345144,264.455493497296,266.50993149339,268.599719067381,270.727749387752,272.897163874752,275.111386827055,277.374165857049,279.689619380713,282.062292727345,284.497224851208,287.000028176114,289.576984834145,292.235163541171,294.982562686141,297.828287047584,300.782768112264,303.85804159595,307.068100978284,310.429353489211,313.961216356453,317.686908447183,321.634519458553,325.838482093117,330.341644089336,335.198258971048,340.478431063456,346.274953196136,352.71426607577,359.974923379172,368.320697620081,378.164856231082,390.208947449859,405.791049792812,427.989108071432,467.027089235743
"3",243.768155775791,0.289047589186759,0.448452601120903,9.74992594949397,4.62626262626263,90.1482242678705,107.622772203819,118.742596216966,127.114770629576,133.928851688662,139.732452714889,144.825089109615,149.389239456332,153.544681386163,157.374467337948,160.9386636832,164.282191055028,167.439572075832,170.43794700463,173.299066029876,176.040649604437,178.677343721723,181.221407177708,183.683216554509,186.071644222904,188.394345994816,190.65798327121,192.868396895121,195.030744857313,197.149612575851,199.229102108373,201.272904998925,203.284362281163,205.266514307273,207.222142448206,209.153804248886,211.063863276212,212.954514636049,214.827806935744,216.685661314847,218.529888047386,220.362201125686,222.184231162277,223.997536888347,225.803615480928,227.603911914165,229.399827500482,231.192727763832,232.983949768357,234.774809010757,236.566605972867,238.360632421792,240.158177538141,241.960533948057,243.769003731713,245.584904479618,247.409575468306,249.244384028864,251.090732185202,252.950063644257,254.82387122745,256.713704842061,258.621180102989,260.54798773013,262.495903864815,264.466801471194,266.46266301601,268.485594654052,270.537842188232,272.621809124694,274.740077207032,276.895429893043,279.090879336608,281.329697562174,283.6154526773,285.95205117028,288.34378759854,290.795403308462,293.312156264411,295.899904640691,298.565207596198,301.315447681472,304.158980728197,307.105320998914,310.165372063855,313.35171767821,316.678992406924,320.164359754038,323.828137501442,327.694628166597,331.793240890864,336.160036573714,340.839903189164,345.889696545886,351.382909749328,357.416858666778,364.124203091686,371.692366625029,380.398371023791,390.676505280904,403.264532008784,419.570846332207,442.838921684589,483.86186252604
"4",251.362537171462,0.287838969503759,0.407810973901112,9.87279266314984,4.93939393939394,95.8221034709077,113.296166477932,124.440013883437,132.844832232226,139.695262254911,145.536943658539,150.668476255049,155.271876532014,159.466678048747,163.335802704009,166.939248941151,170.321905462319,173.518284275229,176.555527894907,179.455396615873,182.235625786218,184.910879182689,187.493435077635,189.993690467426,192.420538599289,194.781656328544,197.083726089289,199.332609648212,201.533485763,203.690960449492,205.80915620497,207.891784881849,209.942207728457,211.963485262871,213.958419023135,215.929586776059,217.879372421501,219.809991567811,221.723513554702,223.621880546188,225.506924197038,227.380380302922,229.24390177113,231.099070190658,232.947406234333,234.790379088805,236.629415078827,238.465905628638,240.301214684509,242.136685707556,243.973648334223,245.813424792807,247.657336157698,249.506708518319,251.362879136915,253.227202668169,255.101057514141,256.985852390124,258.883033180855,260.794090172121,262.72056575043,264.664062673279,266.626253025017,268.608887988817,270.613808584431,272.642957544966,274.698392534809,276.782300946383,278.897016557053,281.045038381488,283.229052121534,285.451954698849,287.716882459527,290.027243770862,292.386756896117,294.799494244465,297.269934364662,299.803023402273,302.404248198956,305.079723816484,307.836299072167,310.681684753197,313.624610647414,316.675019551828,319.844309243976,323.145637398797,326.594310183638,330.208283679535,334.008819832652,338.021357774614,342.276691211121,346.812590430279,351.676086501401,356.92677025772,362.641698627017,368.922947335454,375.909725734194,383.798806403788,392.88118900338,403.613364183711,416.771390986223,433.83814159988,458.232779113687,501.354428579513
"5",259.199553835538,0.286635197977301,0.367549351401334,9.99684610570576,5.25252525252525,101.621357750077,119.11464935895,130.294065372593,138.739508639795,145.632323053259,151.516913517019,156.691358665767,161.337446400214,165.574615020961,169.485756111077,173.130870657956,176.554866730455,179.792284141057,182.870297131605,185.810699175571,188.6312589027,191.346672754414,193.969250691436,196.509420271121,198.976104143615,201.377007447259,203.71883985569,206.007489428056,208.248160372949,210.445483423836,212.603605169746,214.726261033543,216.816835413573,218.878411654389,220.913813890025,222.925642342366,224.916303312029,226.888034838006,228.842928802947,230.782950107387,232.709953416981,234.625697893624,236.531860247967,238.430046392837,240.321801930911,242.208621673208,244.091958355576,245.973230696803,247.853830923268,249.735131870173,251.618493757787,253.505270732186,255.396817253414,257.294494409452,259.199676231686,261.113756086644,263.038153219503,264.974319527243,266.923746643527,268.887973423385,270.868593923857,272.86726598721,274.885720546471,276.925771789335,278.989328336647,281.078405616407,283.195139644539,285.34180246097,287.520819515348,289.734789353278,291.986506024027,294.27898471778,296.615491249646,298.999576144827,301.435114253174,303.92635104298,306.477957008465,309.095091993965,311.783481719007,314.549509422463,317.400326387704,320.343986245191,323.389609492137,326.547586793836,329.829832596709,333.250104782061,336.824412130262,340.571540208109,344.513739488416,348.677639626777,353.095485219489,357.806838697202,362.860979143957,368.320367928964,374.265804664103,380.80436716971,388.082152763993,396.305774196324,405.780957231843,416.987607985836,430.742227798342,448.606464717801,474.185705741782,519.523535025872
"6",267.284611641749,0.285436173468702,0.327670999617877,10.1219782312499,5.56565656565657,107.551091850442,125.083359907035,136.309711030375,144.80362358512,151.74476390767,157.67702890055,162.898361191043,167.590547331958,171.873074948445,175.828902628408,179.518102338098,182.985651350829,186.266154637064,189.386846844397,192.369577101402,195.232165250539,197.989354928026,200.65349972161,203.235067682041,205.743019219816,208.185094862026,210.568037621906,212.897767135325,215.179517678623,217.417948769629,219.617234699487,221.781137691167,223.913068203635,226.016135050155,228.09318737665,230.146850084807,232.179553939205,234.193561336378,236.190988514149,238.173824825859,240.143949584742,242.103146890426,244.053118776102,245.995496956832,247.931853413314,249.863710008592,251.792547305818,253.719812731688,255.646928211438,257.575297386527,259.506312514547,261.44136114211,263.381832634957,265.329124645189,267.284649592989,269.249841239468,271.226161428268,273.215107076233,275.218217497981,277.237082155652,279.273348933654,281.328733049318,283.405026724136,285.504109757499,287.627961165958,289.778672077008,291.958460098231,294.169685421691,296.414868971543,298.69671296209,301.018124306977,303.382241411608,305.792464995247,308.252493733176,310.766365691554,313.338506760058,315.973787585953,318.677590899848,321.455891628286,324.315352853627,327.263441567212,330.308569352729,333.46026475689,336.729386335928,340.128388480966,343.671656536233,347.375934071095,351.260874460209,355.349762797581,359.670475320421,364.256776540436,369.15010722617,374.402103860218,380.078239766001,386.263244099019,393.069450138342,400.650197585072,409.222454521732,419.107458822401,430.809809587912,445.18871397679,463.889142757149,490.71388903746,538.392024046994
"7",275.621151700366,0.284241790526693,0.288129448113135,10.248078565499,5.87878787878788,113.619514069295,131.20925441546,142.493140076826,151.042853067261,158.03789046116,164.022313870513,169.29428564273,174.035800737906,178.366529596518,182.369587723866,186.105181346739,189.618403075398,192.94395765333,196.109166742236,199.135956005225,202.042213176346,204.84274262028,207.549952687327,210.174361199451,212.724974146117,215.209574101488,217.634943144089,220.007037455387,222.331125729039,224.611900106293,226.853565995971,229.059915483531,231.234387855088,233.380119910506,235.499988116037,237.596644184987,239.672545328828,241.729980159311,243.771091022176,245.797893388995,247.812292814133,249.816099870282,251.811043402493,253.798782382419,255.780916598267,257.758996379092,259.734531522641,261.708999572473,263.683853571394,265.660529403495,267.640452825602,269.625046280196,271.615735575547,273.613956514516,275.621161551208,277.638826554086,279.668457755423,281.711598969956,283.7698391705,285.84482051512,287.938246929577,290.051893360394,292.187615828484,294.347362431299,296.533185463729,298.747254855187,300.991873153735,303.269492329067,305.582732716587,307.934404486934,310.327532102377,312.765382317282,315.251496399831,317.789727403056,320.38428350444,323.03977867711,325.761292268877,328.554439470976,331.425455188155,334.381294519989,337.429753992787,340.579618931718,343.840844064,347.224776787402,350.744435809818,354.414862499902,358.25356895834,362.281116587368,366.521873519473,371.005021507273,375.765917610756,380.847971725362,386.305293064471,392.206516179143,398.640497241936,405.725093092595,413.621261376941,422.556872268268,432.869511426818,445.089831942651,460.122163960919,479.699670597712,507.834572690109,557.985792442879
"8",284.212156717713,0.283051943189942,0.248878899791892,10.3750290453561,6.19191919191919,119.835054516659,137.499264993983,148.850452817186,157.462753875882,164.516869991107,170.557639706878,175.88376905939,180.67765268644,185.059265750331,189.111962910984,192.896142626145,196.457055169707,199.829536866994,203.041020882937,206.113528661493,209.065031226633,211.910406185924,214.66212696581,217.330769766819,219.925393423549,222.453828756273,224.922902249658,227.338611274938,229.706263017016,232.030585844385,234.315819497448,236.565788812983,238.783964520982,240.973513796174,243.137342621246,245.278131555535,247.398366155894,249.500363033879,251.58629233279,253.658197253654,255.718011139261,257.767572531617,259.808638544392,261.842896833612,263.871976403459,265.897457447153,267.920880393386,269.943754305277,271.967564760166,273.993781323812,276.023864721173,278.059273797261,280.101472355376,282.151935955892,284.212158756631,286.283660475577,288.367993558141,290.466750634559,292.581572358207,294.714155722976,296.866262967451,299.03973118595,301.236482781815,303.458536917319,305.708022137916,307.987190377131,310.298432583433,312.644296253422,315.027505208494,317.450982017321,319.917873547265,322.431580228295,324.995789738785,327.614515980797,330.292144413011,333.033485065126,335.843834886217,338.729051505062,341.69564103647,344.750863300446,347.902858796784,351.160803090375,354.535096049003,358.037595836744,361.681911002989,365.483768876497,369.46148548368,373.636572478791,378.034531908018,382.685913021932,387.627741893067,392.905493219752,398.575870618857,404.710827532355,411.40355598391,418.777720285828,427.002294330751,436.316631205351,447.075553749294,459.837220613965,475.553669409619,496.051478256747,525.565240638796,578.331793608127
"9",293.058127764405,0.281866498474998,0.209886204526619,10.5026782265103,6.5050505050505,126.204390820513,143.958546479261,155.385976962296,164.067110633943,171.185093450066,177.286093971586,182.669655174207,187.518744853006,191.953753671728,196.058350312441,199.893178330973,203.50368432965,206.924865319236,210.184288409447,213.304088489439,216.30233402752,219.193987395444,221.991596605885,224.705804187559,227.345728542369,229.919254481681,232.433257855058,234.89378154379,237.306175021636,239.675206251065,242.005152313501,244.299873508757,246.562874473421,248.797355011009,251.006252699263,253.192278875005,255.357949248634,257.505610136805,259.637461100462,261.755574620347,263.861913321702,265.95834516573,268.046656951387,270.128566412465,272.205733148464,274.279768590694,276.352245175496,278.42470487295,280.498667200752,282.575636838242,284.657110944216,286.744586273567,288.839566181707,290.94356760176,293.058128077553,295.184812935372,297.325222679189,299.481000697758,301.653841377588,303.845498723604,306.057795599497,308.292633712744,310.552004485394,312.838000971702,315.15283100818,317.498831811662,319.878486277699,322.294441276724,324.749528300809,327.246786882184,329.78949128938,332.381181112224,335.02569647881,337.727218813545,340.490318255723,343.32000912628,346.221815175215,349.201846788685,352.266892918303,355.424531264422,358.683261269543,362.052665856424,365.543609721703,369.16848458142,372.94151537587,376.879146558589,381.000534962573,385.32818653322,389.888790344229,394.714327920598,399.843574344918,405.32416933003,411.215538492125,417.593119717693,424.554660473747,432.2299315362,440.796343198249,450.505345274441,461.729939637274,475.057331322768,491.490016404863,512.953566006376,543.918833186671,599.452479165288
"10",302.157276794892,0.280685304242899,0.171127622490924,10.6308466389217,6.81818181818182,132.7323911235,150.590507697106,162.102325099644,170.858006025083,178.044253616033,184.209064358481,189.6530827736,194.560006678488,199.050742601143,203.209341193626,207.096739169873,210.758614664444,214.2301519114,217.539072457866,220.707640791331,223.754035786157,226.693315143761,229.53811019682,232.299137113873,234.985580056479,237.605383127962,240.165476126147,242.671951442993,245.130204364645,247.545045577879,249.920792309546,252.261342855536,254.570238065348,256.850712487788,259.105737253124,261.338056300006,263.550217205625,265.744597612763,267.923428045185,270.088811746994,272.242742060658,274.38711776383,276.52375671073,278.654408065055,280.780763364669,282.90446662117,285.027123627797,287.150310625535,289.275582458602,291.404480335818,293.538539303035,295.679295523336,297.8282934557,299.987093019038,302.157276826728,304.340457576941,306.5382856861,308.752457256799,310.98472247759,313.236894560283,315.510859331235,317.808585606719,320.132136499505,322.483681824718,324.865511798785,327.280052256763,329.72988165191,332.217750148628,334.746601178002,337.319595896858,339.94014108002,342.611921085975,345.338934674463,348.125537628601,350.976492354773,353.897025914939,356.892898307767,359.970483283636,363.136864590974,366.399951358946,369.768617397045,373.252870639689,376.864060934687,380.61513709077,384.520967893949,388.598747181031,392.86851080499,397.353804680013,402.082560056925,407.088258070756,412.411506071397,418.102213212813,424.222660251344,430.851942513445,438.09259272593,446.080801562254,455.00285696883,465.122951426438,476.833259226843,490.751661118797,507.93402947244,530.410866563805,562.904139955347,621.366270294798
"11",311.506670627594,0.279508210572737,0.13258120091661,10.7593462683846,7.13131313131313,139.422866975311,157.397595064192,169.001189755626,177.83662429515,185.095156222045,191.327057152962,196.834311343635,201.801488114718,206.350100538227,210.564642726681,214.506388109206,218.221278302452,221.744708880814,225.104574476242,228.323283892069,231.419138233667,234.407300183655,237.30049238382,240.109511340241,242.843612655049,245.510804594334,248.1180751229,250.671569832442,253.176733077054,255.63842116623,258.060994074829,260.448390451323,262.804189509348,265.131662522683,267.433816010456,269.713428229919,271.9730802425,274.215182552642,276.441998115663,278.655662354245,280.858200701568,283.051544094075,285.237542762098,287.417978607463,289.594576410311,291.769014070012,293.942932055326,296.1179422153,298.295636083691,300.47759279501,302.665386719056,304.860594912355,307.06480447908,309.279619930368,311.506670629348,313.747618409652,316.004165457462,318.27806255155,320.571117762218,322.885205718851,325.222277567177,327.584371751763,329.97362577709,332.392289122653,334.842737514491,337.327488788601,339.849220622161,342.410790458029,345.01525800894,347.665910802957,350.366293324857,353.120240423999,355.931915804277,358.805856594385,361.747025228026,364.760870158955,367.853397315345,371.031254689764,374.301833103915,377.673387035046,381.155180520326,384.757664675758,388.492695436394,392.373802978691,396.416528273614,400.638847872973,405.061716176342,409.709766366168,414.612229043862,419.804154845283,425.32806991383,431.236261516779,437.594004301607,444.484231593702,452.014501635761,460.327753250528,469.61961504448,480.167701397083,492.384406111731,506.920007765981,524.886848923151,548.426684125449,582.528489207873,644.090756681592
"12",321.095734166307,0.278335082559021,0.0942793391923236,10.8879932631866,7.44444444444444,146.273165848684,164.375976086746,176.078063549526,184.997987676424,192.332461920961,198.634438113362,204.207456363933,209.237086057775,213.845529315007,218.117779718663,222.11548712868,225.884885803183,229.461604686772,232.873728543876,236.143823959266,239.290325096847,242.32850846472,245.271195340465,248.129268715048,250.912060849688,253.627648651615,256.283082135113,258.884563490171,261.437589141335,263.947063697113,266.417392286609,268.852556092643,271.25617468766,273.631557908977,275.981749372926,278.309563255359,280.617615612233,282.908351246299,285.184066921411,287.446931568432,289.699004004436,291.942248591275,294.17854918445,296.40972166375,298.637525290021,300.863673094864,303.089841480247,305.317679181242,307.548815726381,309.784869515451,312.02745562333,314.278193430126,316.538714172138,318.810668504673,321.095734166342,323.395623835155,325.712093269369,328.046949830752,330.402061494872,332.779366462339,335.180883496962,337.608723131948,340.065099904076,342.552345798918,345.072925118508,347.629451017562,350.224703996726,352.861652693344,355.543477374103,358.273596612744,361.055697733586,363.893771723193,366.792153464586,369.75556833995,372.789186490503,375.898686332003,379.090329322587,382.371048495851,385.748553946763,389.231459348081,392.829434760796,396.553392598831,400.415715782936,404.430540117525,408.614107115245,412.985209437604,417.565759684275,422.381525822408,427.463095322021,432.847158737358,438.578248321283,444.711139301212,451.314240714439,458.47450706323,466.304766340132,474.955039933306,484.630769935747,495.623688086523,508.367482960445,523.546605321938,542.333068139785,566.986447589092,602.779347647702,667.619988969664
"13",330.903561308327,0.277165802988192,0.0563215416570356,11.0166116525012,7.75757575757576,153.272176178436,171.513493386149,183.320162007022,192.328856158925,199.742567299422,206.117297294798,211.758339611779,216.852381280054,221.522388974131,225.853907033816,229.908998131048,233.734215885305,237.365442803132,240.830969409375,244.153532415776,247.35170897217,250.44089752118,253.434024693433,256.342065600278,259.17443394539,261.939279381364,264.643717529403,267.294010291076,269.895708911159,272.453768747559,274.972642286131,277.456355240518,279.908569366753,282.33263474721,284.731633657483,287.108417654705,289.465639169809,291.805778616826,294.131167826504,296.444010452952,298.74639987898,301.040335049573,303.327734587305,305.610449483711,307.890274613227,310.168959278572,312.448216966466,314.72973446875,317.015180505197,319.306213969633,321.604491909787,323.911677343101,326.229447005023,328.559499123011,330.903561308327,333.26339865857,335.640822166896,338.037697538984,340.45595452617,342.89759689306,345.364713150674,347.859488202058,350.38421606715,352.941313877914,355.533337364526,358.162998089749,360.833182733095,363.546974780902,366.307679045352,369.118849518132,371.984321166744,374.908246408811,377.895137159322,380.949913546494,384.077960646546,387.285194912618,390.578142390826,393.964031358134,397.450902724689,401.047742477676,404.764641688625,408.612991282913,412.605721054332,416.757595558106,421.085583919897,425.609326845586,430.351733121154,435.339751099833,440.605380424932,446.187019411376,452.131290719549,458.495563820143,465.351518396771,472.790308214781,480.930269089496,489.928831883172,500.001715817502,511.455454260607,524.746092516074,540.594013450881,560.234090406339,586.050308879902,623.615696389426,691.913277422149
